iter	Passed	Remaining
0	74	59272
1	131	52557
2	194	51659
3	250	49779
4	306	48764
5	358	47495
6	410	46514
7	463	45913
8	516	45389
9	569	44975
10	622	44633
11	674	44274
12	725	43907
13	776	43591
14	830	43482
15	882	43249
16	937	43195
17	988	42949
18	1045	42994
19	1106	43136
20	1159	43019
21	1210	42795
22	1262	42660
23	1315	42538
24	1372	42532
25	1426	42477
26	1477	42312
27	1533	42281
28	1587	42214
29	1638	42064
30	1688	41896
31	1742	41826
32	1796	41749
33	1849	41665
34	1902	41575
35	1953	41457
36	2007	41388
37	2060	41319
38	2111	41207
39	2164	41131
40	2216	41041
41	2270	40982
42	2323	40906
43	2376	40830
44	2426	40718
45	2478	40627
46	2529	40523
47	2588	40550
48	2639	40449
49	2692	40394
50	2747	40352
51	2798	40257
52	2848	40153
53	2897	40023
54	2950	39963
55	3005	39929
56	3055	39822
57	3105	39729
58	3158	39673
59	3210	39594
60	3265	39562
61	3319	39512
62	3373	39461
63	3423	39372
64	3478	39337
65	3527	39233
66	3578	39146
67	3628	39055
68	3682	39013
69	3734	38945
70	3784	38852
71	3837	38800
72	3889	38731
73	3945	38712
74	3997	38638
75	4047	38554
76	4109	38587
77	4163	38537
78	4222	38539
79	4283	38548
80	4337	38502
81	4392	38463
82	4448	38432
83	4499	38348
84	4549	38268
85	4602	38210
86	4652	38127
87	4711	38121
88	4763	38058
89	4816	37993
90	4866	37913
91	4919	37857
92	4969	37780
93	5020	37706
94	5071	37636
95	5126	37595
96	5176	37514
97	5229	37463
98	5284	37420
99	5337	37360
100	5387	37288
101	5437	37206
102	5487	37130
103	5540	37076
104	5596	37041
105	5648	36983
106	5703	36939
107	5755	36876
108	5811	36839
109	5864	36785
110	5914	36711
111	5967	36656
112	6019	36597
113	6076	36563
114	6133	36536
115	6185	36476
116	6239	36423
117	6290	36358
118	6341	36287
119	6391	36217
120	6446	36175
121	6499	36121
122	6555	36079
123	6613	36054
124	6668	36008
125	6724	35971
126	6777	35916
127	6828	35847
128	6880	35787
129	6937	35753
130	6994	35722
131	7048	35667
132	7099	35602
133	7156	35566
134	7210	35519
135	7268	35489
136	7321	35433
137	7372	35369
138	7422	35298
139	7478	35256
140	7533	35208
141	7586	35152
142	7642	35114
143	7698	35072
144	7749	35007
145	7799	34936
146	7855	34894
147	7906	34831
148	7957	34766
149	8011	34718
150	8069	34683
151	8123	34631
152	8175	34572
153	8225	34502
154	8279	34454
155	8330	34390
156	8388	34354
157	8442	34305
158	8501	34273
159	8560	34242
160	8614	34190
161	8666	34131
162	8717	34067
163	8776	34035
164	8831	33985
165	8881	33920
166	8932	33859
167	8993	33831
168	9047	33779
169	9105	33743
170	9159	33693
171	9212	33634
172	9268	33590
173	9324	33545
174	9378	33495
175	9428	33427
176	9481	33374
177	9533	33312
178	9585	33256
179	9640	33205
180	9691	33144
181	9746	33096
182	9805	33060
183	9859	33006
184	9914	32959
185	9965	32896
186	10018	32839
187	10085	32832
188	10139	32777
189	10189	32712
190	10239	32649
191	10294	32600
192	10354	32566
193	10406	32507
194	10458	32448
195	10512	32394
196	10565	32340
197	10617	32280
